Name,Updated Name,Link,Scientific Name,Status in Britain,Population Size In Breeding Season,Population Number,2 letter code,long code,Image Url,2nd Image,,habitat.Broad-leaved Woodland,habitat.Coniferous Woodland,habitat.Scrub & Bushy Commons,habitat.Heath & Dry Grassland,habitat.Open Upland Moor,habitat.Pasture & Grazed Fields,habitat.Arable Farmland,habitat.Marsh and Wet Grassland,habitat.Boggy Moorland,habitat.Reed Swamp & Fen,habitat.Open Coastal Habitat,habitat.Villages & Rural Areas,habitat.Towns & Cities,habitat.Lakes & Large Waterbodies,habitat.Ponds & Small Waterbodies,habitat.Rivers (2m wide or more),habitat.Streams (less than 2m),habitat.Coastal Estuaries,habitat.Rocky and Sandy Shoreline,eurobirdLink,foundIn
Nightjar,European Nightjar,http://app.bto.org/birdfacts/results/bob7780.htm,Caprimulgus europaeus,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Males","10,000",NJ,NIJAR,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/CAPEUR/p52weeks,Open country
Corncrake,Corn Crake,http://app.bto.org/birdfacts/results/bob4210.htm,Crex crex,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Males","10,000",CE,CORNC,,,,,,,,,,,,,,,,,,,,,,,,"Grassland, riparian thickets"
Wood Warbler,,http://app.bto.org/birdfacts/results/bob13080.htm,Phylloscopus sibilatrix,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Males","10,000",WO,WOOWA,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/PHYSIB/p52weeks,Forest
Nightingale,Common Nightingale,http://app.bto.org/birdfacts/results/bob11040.htm,Luscinia megarhynchos,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Males","10,000",N.,NIGAL,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/LUSMEG/p52weeks,Thickets
Black Grouse,,http://app.bto.org/birdfacts/results/bob3320.htm,Lyrurus tetrix,Resident Breeder,"1,000 - 10,000 Males","10,000",BK,BLAGR,,,,,,,,,,,,,,,,,,,,,,,,Forest & forest edge
Cetti’s Warbler,,http://app.bto.org/birdfacts/results/bob12200.htm,Cettia cetti,"Resident Breeder, Passage Visitor","1,000 - 10,000 Males","10,000",CW,CETWA,,,,,,,,,,,,,,,,,,,,,,,,"Reedbed, swamp, dense vegetation near water"
Ring Ouzel,,http://app.bto.org/birdfacts/results/bob11860.htm,Turdus torquatus,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Territories","10,000",RZ,RINOU,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/TURTOR/p52weeks,Open moorland
Cirl Bunting,,http://app.bto.org/birdfacts/results/bob18580.htm,Emberiza cirlus,Resident Breeder,"1,000 - 10,000 Territories","10,000",CL,CIRBU,,,,,,,,,,,,,,,,,,,,,,,,"Woodland edge, scrub"
Water Rail,,http://app.bto.org/birdfacts/results/bob4070.htm,Rallus aquaticus,"Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Territories","10,000",WA,WATRA,,,,,,,,,,,,,,,,,,,,,,,,Swamps & marsh
Kingfisher,Common Kingfisher,http://app.bto.org/birdfacts/results/bob8310.htm,Alcedo atthis,Migrant/Resident Breeder,"1,000 - 10,000 Pairs","20,000",KF,KINGF,https://images.unsplash.com/photo-1607240367835-bdbf309c1e06?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2071&q=80,,,,,,0,0,0,0,0,0,0,,,,20,50,95,20,0,0,,"Rivers, marshes, lakes, seacoasts"
Cormorant,Great Cormorant,http://app.bto.org/birdfacts/results/bob720.htm,Phalacrocorax carbo,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs","20,000",CA,CORMO,https://images.unsplash.com/photo-1642185193971-c9bd6c4e1c74?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,,,,0,0,0,0,0,0,0,,,,25,20,40,1,100,50,https://eurobirdportal.org/ebp/en/#home/PHACAR/p52weeks,Larger lakes and coastal
Little Grebe,,http://app.bto.org/birdfacts/results/bob70.htm,Tachybaptus ruficollis,"Migrant/Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs","20,000",LG,LITGR,,,,,,,0,0,0,0,0,0,0,,,,100,65,30,5,65,1,,"Marshes, ponds & lakes"
Great Crested Grebe,,http://app.bto.org/birdfacts/results/bob90.htm,Podiceps cristatus,"Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs","20,000",GG,GRCGR,,,,,,,0,0,0,0,0,0,0,,,,100,35,30,1,25,5,,Reed-bordered lakes
Mute Swan,,http://app.bto.org/birdfacts/results/bob1520.htm,Cygnus olor,Resident/Introduced Breeder,"1,000 - 10,000 Pairs","20,000",MS,MUTSW,,,,,,,0,0,0,0,0,0,0,,,,85,60,95,10,65,20,,"Lakes, ponds & rivers"
Willow Tit,,http://app.bto.org/birdfacts/results/bob14420.htm,Poecile montanus,Resident Breeder,"1,000 - 10,000 Pairs","20,000",WT,WILTI,,,,60,60,90,20,5,20,25,5,0,30,0,15,10,,,,,,,,"Forest, woodland, often near water"
Little Owl,,http://app.bto.org/birdfacts/results/bob7570.htm,Athene noctua,Introduced Breeder,"1,000 - 10,000 Pairs","20,000",LO,LITOW,,,,20,1,30,30,10,95,80,30,0,15,0,60,25,,,,,,,,"Steppe, farmland, towns, open woodland"
Raven,Common Raven,http://app.bto.org/birdfacts/results/bob15720.htm,Corvus corax,Resident Breeder,"1,000 - 10,000 Pairs","20,000",RN,RAVEN,https://images.unsplash.com/photo-1594563144007-08462601c1b4?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,30,30,10,10,70,30,1,35,65,5,55,5,0,,,,,,,,Almost everywhere
Scottish Crossbill,,http://app.bto.org/birdfacts/results/bob16670.htm,Loxia scotica,Endemic Breeder,"1,000 - 10,000 Pairs","20,000",CY,SCOCR,,,,,,,,,,,,,,,,,,,,,,,,Pine forest
Egyptian Goose,,http://app.bto.org/birdfacts/results/bob1700.htm,Alopochen aegyptiaca,Introduced Breeder,"1,000 - 10,000 Pairs","20,000",EG,EGYGO,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ALOAEG/p52weeks,"Lakes, marshes & rivers"
Mandarin Duck,Mandarin Duck,http://app.bto.org/birdfacts/results/bob1780.htm,Aix galericulata,Introduced Breeder,"1,000 - 10,000 Pairs","20,000",MN,MANDA,,,,,,,,,,,,,,,,,,,,,,,,"Wooded ponds, marshes"
Ring-necked Parakeet,,http://app.bto.org/birdfacts/results/bob7120.htm,Psittacula krameri,Introduced Breeder,"1,000 - 10,000 Pairs","20,000",RI,RINPA,https://images.unsplash.com/photo-1616686038131-d5922b890a15?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=987&q=80,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/PSIKRA/p52weeks,"Open woodland, savanna, farmland"
Little Ringed Plover,,http://app.bto.org/birdfacts/results/bob4690.htm,Charadrius dubius,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs","20,000",LP,LIRPL,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/CHADUB/p52weeks,"Sandy or rocky lakeshores, on migration mudflats"
Little Tern,,http://app.bto.org/birdfacts/results/bob6240.htm,Sternula albifrons,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs","20,000",AF,LITTE,,,,,,,,,,,,,,,,,,,,,,,,"Seacoasts, rivers & lakes"
Great Skua,,http://app.bto.org/birdfacts/results/bob5690.htm,Stercorarius skua,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs","20,000",NX,GRESK,,,,,,,,,,,,,,,,,,,,,,,,"Seacoast & moor, in winter seacoasts"
Arctic Skua,,http://app.bto.org/birdfacts/results/bob5670.htm,Stercorarius parasiticus,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs","20,000",AC,ARCSK,,,,,,,,,,,,,,,,,,,,,,,,"Coastal tundra, in winter seacoasts"
Hobby,Eurasian Hobby,http://app.bto.org/birdfacts/results/bob3100.htm,Falco subbuteo,"Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs","20,000",HY,HOBBY,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/FALSUB/p52weeks,"Open forest, steppe, farmland"
Dunlin,,http://app.bto.org/birdfacts/results/bob5120.htm,Calidris alpina,"Migrant Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs","20,000",DN,DUNLI,https://images.unsplash.com/photo-1641665312217-24c9b5f685f2?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2206&q=80,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/CALALP/p52weeks,"Tundra, moor, heath, on migration estuaries &  coasts"
Avocet,Pied Avocet,http://app.bto.org/birdfacts/results/bob4560.htm,Recurvirostra avosetta,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs","20,000",AV,AVOCE,,,,,,,,,,,,,,,,,,,,,,,,"Mudflats, lagoons, sandy beaches"
Ringed Plover,Common Ringed Plover,http://app.bto.org/birdfacts/results/bob4700.htm,Charadrius hiaticula,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs","20,000",RP,RINPL,,,,,,,,,,,,,,,,,,,,,,,,"Sandy areas with low vegetation, on migration estuaries"
Greenshank,Common Greenshank,http://app.bto.org/birdfacts/results/bob5480.htm,Tringa nebularia,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs","20,000",GK,GRESH,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/TRINEB/p52weeks,"Marsh, wet grassland, moor, on migration mudflats"
Red-throated Diver,,http://app.bto.org/birdfacts/results/bob20.htm,Gavia stellata,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs","20,000",RH,RETDI,,,,,,,,,,,,,,,,,,,,,,,,Shallow ponds & lakes
Short-eared Owl,,http://app.bto.org/birdfacts/results/bob7680.htm,Asio flammeus,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs","20,000",SE,SHEOW,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ASIFLA/p52weeks,"Tundra, marsh, moor, grassland"
Merlin,,http://app.bto.org/birdfacts/results/bob3090.htm,Falco columbarius,"Migrant/Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs","20,000",ML,MERLI,,,,,,,,,,,,,,,,,,,,,,,,"Moor, heath, desert, open coniferous forest"
Gadwall,,http://app.bto.org/birdfacts/results/bob1820.htm,Mareca strepera,"Migrant/Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs","20,000",GA,GADWA,,,,,,,,,,,,,,,,,,,,,,,,"Marshes, lakes, on migration also rivers, estuaries"
Twite,,http://app.bto.org/birdfacts/results/bob16620.htm,Linaria flavirostris,"Migrant/Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs","20,000",TW,TWITE,,,,,,,,,,,,,,,,,,,,,,,,"Grassland, moor"
Ptarmigan,Rock Ptarmigan,http://app.bto.org/birdfacts/results/bob3300.htm,Lagopus muta,Resident Breeder,"1,000 - 10,000 Pairs","20,000",PM,PTARM,,,,,,,,,,,,,,,,,,,,,,,,Tundra
Barn Owl,,http://app.bto.org/birdfacts/results/bob7350.htm,Tyto alba,Resident Breeder,"1,000 - 10,000 Pairs","20,000",BO,BAROW,https://images.unsplash.com/photo-1531275467514-94da595cf8d7?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1035&q=80,,,,,,,,,,,,,,,,,,,,,,,"Open country, savanna, farmland"
Lesser Spotted Woodpecker,,http://app.bto.org/birdfacts/results/bob8870.htm,Dryobates minor,Resident Breeder,"1,000 - 10,000 Pairs","20,000",LS,LESWO,,,,,,,,,,,,,,,,,,,,,,,,"Forest, forest edge"
Crested Tit,European Crested Tit,http://app.bto.org/birdfacts/results/bob14540.htm,Lophophanes cristatus,Resident Breeder,"1,000 - 10,000 Pairs","20,000",CI,CRETI,,,,,,,,,,,,,,,,,,,,,,,,Coniferous or mixed woodland
Dartford Warbler,,http://app.bto.org/birdfacts/results/bob12620.htm,Sylvia undata,Resident Breeder,"1,000 - 10,000 Pairs","20,000",DW,DARWA,,,,,,,,,,,,,,,,,,,,,,,,"Scrub, heath"
Teal,Eurasian Teal,http://app.bto.org/birdfacts/results/bob1840.htm,Anas crecca,"Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs","20,000",T.,TEAL.,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ANACRE/p52weeks,"Lakes, marshes, ponds & shallow streams"
Long-eared Owl,,http://app.bto.org/birdfacts/results/bob7670.htm,Asio otus,"Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs","20,000",LE,LOEOW,,,,,,,,,,,,,,,,,,,,,,,,Coniferous & mixed woodland
Peregrine,Peregrine Falcon,http://app.bto.org/birdfacts/results/bob3200.htm,Falco peregrinus,"Resident Breeder, Passage/Winter Visitor","1,000 - 10,000 Pairs","20,000",PE,PEREG,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, moor, steppe, seacoast, cities"
Goosander,Common Merganser,http://app.bto.org/birdfacts/results/bob2230.htm,Mergus merganser,"Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs","20,000",GD,GOOSA,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/MERMER/p52weeks,"Lakes, rivers, on migration estuaries"
Red-breasted Merganser,,http://app.bto.org/birdfacts/results/bob2210.htm,Mergus serrator,"Resident Breeder, Winter Visitor","1,000 - 10,000 Pairs","20,000",RM,REBME,,,,,,,,,,,,,,,,,,,,,,,,"Lakes, rivers, on migration also seacoasts"
Red Kite,,http://app.bto.org/birdfacts/results/bob2390.htm,Milvus milvus,"Resident/Introduced Breeder, Passage Visitor","1,000 - 10,000 Pairs","20,000",KT,REDKI,https://images.unsplash.com/photo-1630336597270-28e1a7c549b7?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/MILMIL/p52weeks,"Pasture, open woodland, forest"
Woodlark,Wood Lark,http://app.bto.org/birdfacts/results/bob9740.htm,Lullula arborea,"Resident/Migrant Breeder, Passage Visitor","1,000 - 10,000 Pairs","20,000",WL,WOODL,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/LULARB/p52weeks,"Woodland edge, savanna"
Corn Bunting,,http://app.bto.org/birdfacts/results/bob18820.htm,Emberiza calandra,"Resident Breeder, Passage Visitor","10,000 - 100,000 Territories","100,000",CB,CORBU,,,,5,1,10,1,0,5,100,5,0,0,1,10,1,,,,,,,,"Scrub, grassland, farmland"
Lesser Whitethroat,,http://app.bto.org/birdfacts/results/bob12740.htm,Sylvia curruca,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Territories","100,000",LW,LESWH,,,,20,5,30,10,1,30,45,20,0,85,25,35,15,,,,,,,https://eurobirdportal.org/ebp/en/#home/SYLCUR/p52weeks,"Woodland, scrub, semi-desert"
Yellow Wagtail,Western Yellow Wagtail,http://app.bto.org/birdfacts/results/bob10170.htm,Motacilla flava,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Territories","100,000",YW,YELWA,,,,,,,1,1,10,100,15,0,20,,,,35,30,40,75,100,10,https://eurobirdportal.org/ebp/en/#home/MOTFLA/p52weeks,"Damp meadows, marsh, riverbanks"
Grasshopper Warbler,Common Grasshopper Warbler,http://app.bto.org/birdfacts/results/bob12360.htm,Locustella naevia,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Territories","100,000",GH,GRAWA,,,,1,5,20,1,5,5,1,10,20,100,0,1,0,,,,,,,,"Marsh, moor, open woodland"
Red-legged Partridge,,http://app.bto.org/birdfacts/results/bob3580.htm,Alectoris rufa,Introduced Breeder,"10,000 - 100,000 Territories","100,000",RL,RELPA,,,,20,5,10,10,5,20,100,5,0,30,35,25,1,,,,,,,,"Open or scrubby country, farmland"
Marsh Tit,,http://app.bto.org/birdfacts/results/bob14400.htm,Poecile palustris,Resident Breeder,"10,000 - 100,000 Territories","100,000",MT,MARTI,,,,100,30,30,10,5,15,15,10,0,0,0,15,1,,,,,,,,"Mixed woodland, towns"
Spotted Flycatcher,,http://app.bto.org/birdfacts/results/bob13350.htm,Muscicapa striata,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Territories","100,000",SF,SPOFL,,,,90,55,35,20,20,65,25,20,15,5,0,85,10,,,,,,,,"Open woodland, gardens"
Grey Partridge,,http://app.bto.org/birdfacts/results/bob3670.htm,Perdix perdix,Resident/Introduced Breeder,"10,000 - 100,000 Territories","100,000",P.,GREPA,,,,20,5,15,10,25,25,100,25,0,30,20,20,1,,,,,,,,"Farmland, steppe, wood edge"
Pochard,Common Pochard,http://app.bto.org/birdfacts/results/bob1980.htm,Aythya ferina,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Birds","100,000",PO,POCHA,,,,,,,,,,,,,,,,,,,,,,,,Lakes & slow rivers on migration also estuaries
Grey Plover,Black-bellied Plover,http://app.bto.org/birdfacts/results/bob4860.htm,Pluvialis squatarola,Passage/Winter Visitor,"10,000 - 100,000 Birds","100,000",GV,GREPL,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, on migration pasture & estuaries"
Bar-tailed Godwit,,http://app.bto.org/birdfacts/results/bob5340.htm,Limosa lapponica,Passage/Winter Visitor,"10,000 - 100,000 Birds","100,000",BA,BATGO,,,,,,,,,,,,,,,,,,,,,,,,"Coastal tundra, on migration mudflats, flooded fields"
Sanderling,,http://app.bto.org/birdfacts/results/bob4970.htm,Calidris alba,Passage/Winter Visitor,"10,000 - 100,000 Birds","100,000",SS,SANDE,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, on migration coastal"
Pintail,Northern Pintail,http://app.bto.org/birdfacts/results/bob1890.htm,Anas acuta,"Resident/Migrant Breeder, Winter Visitor","10,000 - 100,000 Birds","100,000",PT,PINTA,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ANAACU/p52weeks,"Lakes, rivers, marsh & tundra"
Turnstone,Ruddy Turnstone,http://app.bto.org/birdfacts/results/bob5610.htm,Arenaria interpres,"Scarce Breeder, Passage/Winter Visitor","10,000 - 100,000 Birds","100,000",TT,TURNS,,,,,,,,,,,,,,,,,,,,,,,,"Tundra, on migration beaches & rocky coasts"
Whooper Swan,,http://app.bto.org/birdfacts/results/bob1540.htm,Cygnus cygnus,"Scarce Breeder, Winter Migrant","10,000 - 100,000 Birds","100,000",WS,WHOSW,,,,,,,,,,,,,,,,,,,,,,,,"Lakes, marshes & rivers"
Long-tailed Duck,Oldsquaw,http://app.bto.org/birdfacts/results/bob2120.htm,Clangula hyemalis,"Scarce Breeder, Winter Visitor","10,000 - 100,000 Birds","100,000",LN,LOTDU,,,,,,,,,,,,,,,,,,,,,,,,"Tundra lakes, on migration open lakes & coasts"
White-fronted Goose,Greater White-fronted Goose,http://app.bto.org/birdfacts/results/bob1590.htm,Anser albifrons,Winter Migrant,"10,000 - 100,000 Birds","100,000",WG,WHFGO,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/ANSALB/p52weeks,"Tundra lakes, wet meadows on migration flooded fields & estuaries"
Waxwing,Bohemian Waxwing,http://app.bto.org/birdfacts/results/bob10480.htm,Bombycilla garrulus,Winter Visitor,"10,000 - 100,000 Birds","100,000",WX,WAXWI,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/BOMGAR/p52weeks,"Coniferous forest, birch woodland"
Woodcock,Eurasian Woodcock,http://app.bto.org/birdfacts/results/bob5290.htm,Scolopax rusticola,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Males","100,000",WK,WOODC,,,,,,,,,,,,,,,,,,,,,,,,Damp woodland and heath
Storm Petrel,European Storm Petrel,http://app.bto.org/birdfacts/results/bob520.htm,Hydrobates pelagicus,Migrant Breeder,"10,000 - 100,000 Nests","100,000",TM,STOPE,,,,,,,,,,,,,,,,,,,,,,,,"Pelagic, breeds in island burrows & crevices"
Turtle Dove,European Turtle Dove,http://app.bto.org/birdfacts/results/bob6870.htm,Streptopelia turtur,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Territories","100,000",TD,TURDO,,,,,,,,,,,,,,,,,,,,,,,https://eurobirdportal.org/ebp/en/#home/STRTUR/p52weeks,"Open woodland, scrub, gardens"
Canada Goose,Greater Canada Goose,http://app.bto.org/birdfacts/results/bob1660.htm,Branta canadensis,"Introduced Breeder, Accidental","10,000 - 100,000 Pairs","200,000",CG,CANGO,,,,,,,0,0,0,0,0,0,0,,,,95,80,45,10,25,5,,"Marsh, meadows, lakes & tundra, also estuaries"
Common Tern,,http://app.bto.org/birdfacts/results/bob6150.htm,Sterna hirundo,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs","200,000",CN,COMTE,,,,,,,0,0,0,0,0,0,0,,,,35,40,25,1,100,30,https://eurobirdportal.org/ebp/en/#home/STEHIR/p52weeks,"Sandy seacoasts, in winter marshes, estuaries"
Shelduck,Common Shelduck,http://app.bto.org/birdfacts/results/bob1730.htm,Tadorna tadorna,"Migrant/Resident Breeder, Winter Visitor","10,000 - 100,000 Pairs","200,000",SU,SHELD,,,,,,,0,0,0,0,0,0,0,,,,10,5,5,1,100,25,https://eurobirdportal.org/ebp/en/#home/TADTAD/p52weeks,"Coasts, estuaries & lakes"
Tufted Duck,,http://app.bto.org/birdfacts/results/bob2030.htm,Aythya fuligula,"Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",TU,TUFDU,,,,,,,0,0,0,0,0,0,0,,,,100,75,30,5,35,5,,"Marshes, lakes, on migration also rivers, estuaries"
Coot,Common Coot,http://app.bto.org/birdfacts/results/bob4290.htm,Fulica atra,"Resident Breeder, Winter Visitor","10,000 - 100,000 Pairs","200,000",CO,COOT.,,,,,,,0,0,0,0,0,0,0,,,,100,80,55,10,30,20,,"Lakes, marsh, rivers, seacoast"
Great Black-backed Gull,Greater Blackback,http://app.bto.org/birdfacts/results/bob6000.htm,Larus marinus,"Resident Breeder, Winter Visitor","10,000 - 100,000 Pairs","200,000",GB,GBBGU,,,,,,,10,0,5,5,5,10,0,,,,25,5,10,1,15,100,,"Seacoasts, lakes"
Greylag Goose,,http://app.bto.org/birdfacts/results/bob1610.htm,Anser anser,"Introduced/Resident Breeder, Winter Migrant","10,000 - 100,000 Pairs","200,000",GJ,GREGO,,,,1,1,1,10,1,5,5,25,5,100,15,5,1,,,,,,,https://eurobirdportal.org/ebp/en/#home/ANSANS/p52weeks,"Reedbed, marsh, estuaries & lakes"
Tawny Owl,,http://app.bto.org/birdfacts/results/bob7610.htm,Strix aluco,Resident Breeder,"10,000 - 100,000 Pairs","200,000",TO,TAWOW,,,,100,40,35,1,1,20,20,10,10,0,0,15,5,,,,,,,,"Forest, woodland, towns"
Common Crossbill,Red Crossbill,http://app.bto.org/birdfacts/results/bob16660.htm,Loxia curvirostra,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",CR,CROSS,,,,5,100,15,5,5,1,1,1,0,0,0,1,0,,,,,,,https://eurobirdportal.org/ebp/en/#home/LOXCUR/p52weeks,Coniferous forest
Swift,Common Swift,http://app.bto.org/birdfacts/results/bob7950.htm,Apus apus,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs","200,000",SI,SWIFT,,,,20,5,30,5,5,25,20,15,1,30,0,55,90,,,,,,,https://eurobirdportal.org/ebp/en/#home/APUAPU/p52weeks,Open country & towns
Redshank,Common Redshank,http://app.bto.org/birdfacts/results/bob5460.htm,Tringa totanus,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",RK,REDSH,,,,,,,10,5,5,1,50,1,50,,,,30,5,10,1,100,30,https://eurobirdportal.org/ebp/en/#home/TRITOT/p52weeks,"Rivers, wet grassland, moors & estuaries"
Grey Heron,,http://app.bto.org/birdfacts/results/bob1220.htm,Ardea cinerea,"Resident Breeder, Winter Visitor","10,000 - 100,000 Pairs","200,000",H.,GREHE,https://images.unsplash.com/photo-1505934000979-29ddff379cf7?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2070&q=80,,,,,,15,5,35,25,65,30,65,,,,90,60,100,20,55,20,,"Lakes, marshes, rivers, flooded fields"
Green Woodpecker,European Green Woodpecker,http://app.bto.org/birdfacts/results/bob8560.htm,Picus viridis,Resident Breeder,"10,000 - 100,000 Pairs","200,000",G.,GREWO,https://images.unsplash.com/photo-1557259317-c352e5a44133?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2072&q=80,,,100,35,55,45,10,35,30,15,1,10,1,60,35,,,,,,,,"Deciduous & mixed forest edge, woodlands"
Cuckoo,Common Cuckoo,http://app.bto.org/birdfacts/results/bob7240.htm,Cuculus canorus,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs","200,000",CK,CUCKO,,,,25,40,50,35,20,20,25,50,5,65,35,20,1,,,,,,,https://eurobirdportal.org/ebp/en/#home/CUCCAN/p52weeks,"Open woodland, taiga, steppe forest"
Golden Plover,European Golden Plover,http://app.bto.org/birdfacts/results/bob4850.htm,Pluvialis apricaria,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",GP,GOLPL,,,,0,1,1,65,35,1,0,90,85,1,0,1,0,,,,,,,,"Tundra, wet moor, on migration pasture & estuaries"
Tree Pipit,,http://app.bto.org/birdfacts/results/bob10090.htm,Anthus trivialis,"Migrant Breeder, Passage Visitor","10,000 - 100,000 Pairs","200,000",TP,TREPI,,,,30,80,80,50,40,10,1,20,5,0,0,1,1,,,,,,,https://eurobirdportal.org/ebp/en/#home/ANTTRI/p52weeks,Open upland woodland
Kestrel,Common Kestrel,http://app.bto.org/birdfacts/results/bob3040.htm,Falco tinnunculus,"Migrant/Resident Breeder, Passage/Winter Visitor","10,000 - 100,000 Pairs","200,000",K.,KESTR,https://images.unsplash.com/photo-1509641402296-b7f020ccf694?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=2069&q=80,,,45,30,80,35,40,60,80,60,45,15,5,65,35,,,,,,,,"Open grassland, heath, farmland, towns"
